#{"t_start": 1764259294.8451378, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.641872
-50.0,50,0.761223
-50.0,50,0.874761
-18.0,19,0.916344
-50.0,50,1.035004
-50.0,50,1.147845
-50.0,50,1.262341
-19.0,20,1.305937
-50.0,50,1.421286
-50.0,50,1.533903
-50.0,50,1.650372
-1.0,2,1.655064
-50.0,50,1.767027
-50.0,50,1.881702
-50.0,50,1.998349
-50.0,50,2.110765
-50.0,50,2.224203
-18.0,19,2.267301
-50.0,50,2.385298
-50.0,50,2.495519
-6.0,7,2.510052
-50.0,50,2.624378
-50.0,50,2.734713
-50.0,50,2.853389
-50.0,50,2.968679
-50.0,50,3.08128
-50.0,50,3.195225
-50.0,50,3.314537
-50.0,50,3.43152
-50.0,50,3.545505
-23.0,24,3.598138
-50.0,50,3.718312
-50.0,50,3.834536
-50.0,50,3.946206
-50.0,50,4.054699
-50.0,50,4.165743
-50.0,50,4.283296
-50.0,50,4.396958
-50.0,50,4.514235
-50.0,50,4.626638
-50.0,50,4.738458
-50.0,50,4.849593
-50.0,50,4.963671
-11.0,12,4.989236
-50.0,50,5.103731
-50.0,50,6.100793
-50.0,50,6.220938
-5.0,6,6.234946
-50.0,50,6.35288
-50.0,50,6.469814
-50.0,50,6.591254
-50.0,50,6.705385
-50.0,50,6.821546
-50.0,50,6.932844
-50.0,50,7.046847
-50.0,50,7.160363
-50.0,50,7.273181
-50.0,50,7.389421
-50.0,50,7.501879
-50.0,50,7.616213
-50.0,50,7.73001
-50.0,50,7.839938
-50.0,50,7.948108
-50.0,50,8.059705
-50.0,50,8.17521
-50.0,50,8.289548
-50.0,50,8.407126
-50.0,50,8.518855
-50.0,50,8.63524
-50.0,50,8.746119
-50.0,50,8.860929
-50.0,50,8.971617
-50.0,50,9.081096
-50.0,50,9.199013
-50.0,50,9.31551
-50.0,50,9.425797
-50.0,50,9.535556
-50.0,50,9.65187
-50.0,50,9.761467
-50.0,50,9.870047
-50.0,50,9.98007
-50.0,50,10.093097
-50.0,50,10.207601
-50.0,50,10.321903
-50.0,50,10.434885
-50.0,50,10.546154
-50.0,50,10.658566
-50.0,50,11.631569
-50.0,50,11.74294
0.0,1,11.745384
0.0,1,11.74805
-50.0,50,11.860565
-50.0,50,11.967853
-50.0,50,12.077218
-50.0,50,12.184893
0.0,1,12.187227
-50.0,50,12.300633
-50.0,50,12.416157
-50.0,50,12.530348
-50.0,50,12.646702
-50.0,50,12.761289
-50.0,50,12.873208
-38.0,39,12.961484
-50.0,50,13.071216
-50.0,50,13.187281
-50.0,50,13.296933
-50.0,50,13.414988
0.0,1,13.417523
-50.0,50,13.534455
-50.0,50,13.929639
-50.0,50,14.039569
-50.0,50,14.150178
-50.0,50,14.268201
-50.0,50,14.37675
-50.0,50,14.509291
-50.0,50,14.627855
-50.0,50,14.743388
-50.0,50,14.854096
-50.0,50,14.968854
-50.0,50,15.082635
-50.0,50,15.200259
-50.0,50,15.315982
-50.0,50,15.430705
-50.0,50,15.547228
-50.0,50,15.659205
-13.0,14,15.688125
-50.0,50,15.799223
-50.0,50,15.917825
-50.0,50,16.031456
-50.0,50,16.14219
-5.0,6,16.155411
-50.0,50,16.266648
-4.0,5,16.278397
-16.0,17,16.313867
-50.0,50,16.434656
-50.0,50,16.547324
-50.0,50,17.52729
-50.0,50,17.639248
-50.0,50,17.7534
-50.0,50,17.862016
-50.0,50,17.977192
-50.0,50,18.091159
-2.0,3,18.099007
-50.0,50,18.21396
-50.0,50,18.328774
-50.0,50,18.443975
-3.0,4,18.453062
-50.0,50,18.563502
-50.0,50,18.671408
-50.0,50,18.783808
-50.0,50,18.90018
-50.0,50,19.009729
-50.0,50,19.124458
-4.0,5,19.135164
-50.0,50,19.248672
-50.0,50,19.359967
-12.0,13,19.389015
-50.0,50,19.501891
-8.0,9,19.522467
-50.0,50,19.631359
-50.0,50,19.744321
-50.0,50,19.86543
-50.0,50,19.979693
-50.0,50,20.08714
-50.0,50,20.196761
-7.0,8,20.215743
-50.0,50,20.327488
-50.0,50,20.43948
-50.0,50,20.549384
-50.0,50,20.662408
-6.0,7,20.677295
-1.0,2,20.681791
-50.0,50,20.794992
-50.0,50,20.901784
-7.0,8,20.919684
-5.0,6,20.932184
-50.0,50,21.046727
-43.0,44,21.149818
-3.0,4,21.159008
-50.0,50,21.270339
-13.0,14,21.300408
-50.0,50,21.407826
-50.0,50,21.517117
-50.0,50,21.629352
-50.0,50,21.741207
-50.0,50,21.856334
-50.0,50,21.960536
-50.0,50,22.939416
-12.0,13,22.966606
-50.0,50,23.083624
-50.0,50,23.196704
-50.0,50,23.308522
-50.0,50,23.421773
-50.0,50,23.532307
-50.0,50,23.651454
-50.0,50,23.773032
-50.0,50,23.887474
-50.0,50,23.997346
-4.0,5,24.008098
-50.0,50,24.123239
-50.0,50,24.239303
-50.0,50,24.349217
-50.0,50,24.461164
-50.0,50,24.586281
-7.0,8,24.604058
-10.0,11,24.63199
-50.0,50,24.747023
-50.0,50,24.866259
-50.0,50,24.977776
-15.0,16,25.011814
-50.0,50,25.127391
-50.0,50,25.252047
-50.0,50,25.365001
-50.0,50,25.486948
-32.0,33,25.56249
-50.0,50,25.680911
0.0,1,25.683127
-50.0,50,25.800462
-50.0,50,25.910958
-50.0,50,26.027649
-50.0,50,26.142846
-50.0,50,26.257744
-50.0,50,26.36903
-1.0,2,26.373248
-50.0,50,26.485055
-50.0,50,26.601583
-4.0,5,26.615708
-50.0,50,26.733934
-50.0,50,26.844215
-8.0,9,26.864258
0.0,1,26.866621
-50.0,50,26.986078
-50.0,50,27.416854
-50.0,50,27.529178
-50.0,50,27.648174
-8.0,9,27.666751
-50.0,50,27.779924
-50.0,50,27.891932
-50.0,50,28.872947
-50.0,50,28.98512
-1.0,2,28.989534
-15.0,16,29.02418
-50.0,50,29.133087
0.0,1,29.135323
-19.0,20,29.179423
-50.0,50,29.28372
-14.0,15,29.316653
-50.0,50,29.427981
-6.0,7,29.443811
-50.0,50,29.547814
-50.0,50,29.656302
-50.0,50,29.76621
-9.0,10,29.788507
-5.0,6,29.801747
-50.0,50,29.912662
-50.0,50,30.019562
-50.0,50,30.127023
-17.0,18,30.165971
-3.0,4,30.174061
-50.0,50,30.278364
-11.0,12,30.30317
-50.0,50,30.409542
-50.0,50,30.516283
-50.0,50,30.630555
-50.0,50,30.734986
-50.0,50,30.849423
-14.0,15,30.880364
-50.0,50,30.986548
-50.0,50,31.101896
-15.0,16,31.137729
-15.0,16,31.171392
-50.0,50,31.276389
-50.0,50,31.383862
-50.0,50,31.489427
-11.0,12,31.51535
-50.0,50,31.623222
-21.0,22,31.67166
-10.0,11,31.694752
-7.0,8,31.710745
-50.0,50,31.834428
-2.0,3,31.84066
-50.0,50,31.945743
-50.0,50,32.055286
-50.0,50,32.165681
-50.0,50,32.278281
-50.0,50,32.387902
-50.0,50,32.500581
-50.0,50,32.609902
-50.0,50,32.716115
-6.0,7,32.730468
-31.0,32,32.79783
-50.0,50,32.90291
0.0,1,32.905532
-50.0,50,33.018808
-50.0,50,33.13669
-10.0,11,33.159669
-50.0,50,34.131752
-50.0,50,34.238057
-50.0,50,34.347785
-50.0,50,34.454292
-50.0,50,34.571089
-50.0,50,34.677056
-50.0,50,34.782434
-50.0,50,34.890119
-50.0,50,35.00065
-50.0,50,35.113432
-47.0,48,35.212567
-50.0,50,35.32377
-50.0,50,35.426276
-50.0,50,35.534134
-50.0,50,35.64345
-19.0,20,35.686367
-7.0,8,35.703803
-50.0,50,35.809508
-50.0,50,35.918239
-18.0,19,35.9591
-9.0,10,35.981715
-50.0,50,36.088526
0.0,1,36.090992
-4.0,5,36.101741
-10.0,11,36.125286
-7.0,8,36.141868
-50.0,50,36.25212
-5.0,6,36.265437
-50.0,50,36.37314
-50.0,50,36.483837
-50.0,50,36.58993
-50.0,50,36.69699
-50.0,50,36.801551
-50.0,50,36.913987
-15.0,16,36.948986
-50.0,50,37.054479
-47.0,48,37.158974
-6.0,7,37.174401
-50.0,50,37.282219
-16.0,17,37.318293
-4.0,5,37.329359
-50.0,50,37.438045
-50.0,50,37.549819
-50.0,50,37.656381
-50.0,50,37.765382
-50.0,50,37.878374
-50.0,50,37.985671
-2.0,3,37.991929
-12.0,13,38.01819
-50.0,50,38.127623
-50.0,50,38.231789
-6.0,7,38.246162
-50.0,50,38.354154
0.0,1,38.356255
-50.0,50,38.46767
-50.0,50,39.440937
-50.0,50,39.550407
-5.0,6,39.562539
0.0,1,39.564691
-50.0,50,39.671904
-50.0,50,39.785201
-50.0,50,39.892565
-19.0,20,39.935211
-5.0,6,39.947221
-5.0,6,39.960116
-22.0,23,40.008903
-5.0,6,40.021883
-50.0,50,40.126879
-50.0,50,40.228935
-1.0,2,40.233372
-50.0,50,40.336992
-10.0,11,40.358975
-50.0,50,40.464362
-50.0,50,40.57305
0.0,1,40.575302
-50.0,50,40.678639
0.0,1,40.680879
-50.0,50,40.796312
-16.0,17,41.176431
-47.0,48,41.284169
-50.0,50,41.390993
-12.0,13,41.41761
-1.0,2,41.421972
-27.0,28,41.482602
-50.0,50,41.590819
-30.0,31,41.659533
-50.0,50,41.76668
-50.0,50,41.870825
-45.0,46,41.96862
-50.0,50,42.076947
-20.0,21,42.1222
-50.0,50,42.233993
-50.0,50,42.338165
-10.0,11,42.361781
-20.0,21,42.406693
-50.0,50,42.51651
-8.0,9,42.5352
-5.0,6,42.548172
-50.0,50,42.653372
-50.0,50,42.758801
-5.0,6,42.772107
-6.0,7,42.787803
-50.0,50,42.897531
-50.0,50,43.002571
-2.0,3,43.009487
-50.0,50,43.114207
-33.0,34,43.185061
-15.0,16,43.217831
-50.0,50,43.326752
