#{"t_start": 1764260614.415021, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,32.051029
-1.0,2,32.055426
-50.0,50,32.160493
-50.0,50,32.267368
-50.0,50,32.372324
-50.0,50,32.481966
-50.0,50,32.587087
-50.0,50,33.541833
-50.0,50,33.649476
-50.0,50,33.757423
-50.0,50,33.863264
-21.0,22,33.912485
-50.0,50,34.015687
-16.0,17,34.053543
-50.0,50,34.16098
-50.0,50,34.26547
-50.0,50,34.37133
-50.0,50,34.480884
-50.0,50,34.586267
-14.0,15,34.617112
-50.0,50,34.719874
-50.0,50,34.821031
-50.0,50,34.923545
-50.0,50,35.028791
-50.0,50,35.134547
-50.0,50,35.242869
-50.0,50,35.345189
-50.0,50,35.450579
-50.0,50,35.551628
-50.0,50,35.656069
-50.0,50,35.76133
-50.0,50,35.863056
-50.0,50,35.965179
-50.0,50,36.070551
-50.0,50,36.180674
-4.0,5,36.191042
-50.0,50,36.296858
-50.0,50,36.403661
-50.0,50,36.508544
-50.0,50,36.614352
-50.0,50,36.717859
-50.0,50,36.823154
-50.0,50,36.93442
-50.0,50,37.036946
-50.0,50,37.144312
-50.0,50,37.247386
-50.0,50,37.350683
-50.0,50,37.45438
-50.0,50,37.562846
-50.0,50,37.66609
-50.0,50,37.767761
-50.0,50,38.745032
-50.0,50,38.848384
-2.0,3,38.854885
-50.0,50,38.956643
-38.0,39,39.037634
-50.0,50,39.142906
-50.0,50,39.249055
-50.0,50,39.3527
-3.0,4,39.361276
0.0,1,39.363608
-50.0,50,39.467932
-50.0,50,39.569659
-50.0,50,39.672224
-9.0,10,39.692047
-5.0,6,39.704696
-50.0,50,39.809531
-50.0,50,39.909308
-50.0,50,40.015832
-50.0,50,40.44703
-50.0,50,40.557125
-50.0,50,40.665286
-50.0,50,40.76703
-50.0,50,40.873258
-50.0,50,40.976412
-50.0,50,41.087719
-50.0,50,41.193204
-50.0,50,41.30237
-50.0,50,41.40794
-50.0,50,41.509814
-50.0,50,41.616206
-50.0,50,41.719523
-50.0,50,41.82163
-11.0,12,41.845489
-50.0,50,41.9489
-50.0,50,42.057018
-50.0,50,42.165268
-50.0,50,42.266203
-7.0,8,42.282803
-50.0,50,42.385903
-6.0,7,42.400359
-50.0,50,42.503386
0.0,1,42.505489
-50.0,50,42.606634
0.0,1,42.608834
-1.0,2,42.613145
-8.0,9,42.631839
-50.0,50,42.734239
-50.0,50,42.83616
-50.0,50,42.941475
-50.0,50,43.048208
-4.0,5,43.058556
-50.0,50,43.163862
-50.0,50,43.271257
-50.0,50,44.233839
-50.0,50,44.338044
0.0,1,44.340321
-50.0,50,44.444078
-50.0,50,44.542193
-50.0,50,44.645212
-50.0,50,44.749468
-50.0,50,44.850854
-2.0,3,44.857071
-50.0,50,44.962775
-7.0,8,44.98036
-7.0,8,44.997395
-50.0,50,45.098421
-50.0,50,45.202647
-50.0,50,45.305421
-50.0,50,45.408805
-50.0,50,45.512549
-3.0,4,45.521587
-50.0,50,45.630515
0.0,1,45.632779
-50.0,50,45.739416
-50.0,50,45.840664
-4.0,5,45.851275
-50.0,50,45.956195
-50.0,50,46.061286
-50.0,50,46.165033
-50.0,50,46.270657
-50.0,50,46.377721
-50.0,50,46.482853
-50.0,50,46.587009
-50.0,50,46.687488
-19.0,20,46.727126
-50.0,50,46.831657
-50.0,50,46.929956
-3.0,4,46.938077
-50.0,50,47.037405
-50.0,50,47.14764
-50.0,50,47.248272
-50.0,50,47.350981
-50.0,50,47.452313
0.0,1,47.454658
-50.0,50,47.558991
-50.0,50,47.659367
-50.0,50,47.767704
-50.0,50,47.875827
-50.0,50,47.980887
-50.0,50,48.087852
-50.0,50,48.19364
-50.0,50,48.297522
-50.0,50,48.402035
-50.0,50,49.373754
-50.0,50,49.476761
-50.0,50,49.577129
-50.0,50,49.679101
-50.0,50,49.781479
-50.0,50,49.880216
-6.0,7,49.895786
-50.0,50,49.999994
-6.0,7,50.01471
-50.0,50,50.120649
-6.0,7,50.135342
-50.0,50,50.239806
-50.0,50,50.346881
-8.0,9,50.365326
-50.0,50,50.469678
-50.0,50,50.575193
-50.0,50,50.678534
-4.0,5,50.688966
-50.0,50,50.786572
-4.0,5,50.797389
-4.0,5,50.808609
-50.0,50,50.911599
-3.0,4,50.919563
-50.0,50,51.019369
-50.0,50,51.118256
-50.0,50,51.220545
-6.0,7,51.234923
-50.0,50,51.335399
-50.0,50,51.4391
-12.0,13,51.466032
-50.0,50,51.571153
-50.0,50,51.675792
-3.0,4,51.683914
-50.0,50,51.787249
-50.0,50,51.891536
-50.0,50,51.997011
-50.0,50,52.105282
-50.0,50,52.205852
-50.0,50,52.312494
-50.0,50,52.415419
-50.0,50,52.521178
-50.0,50,52.951059
-50.0,50,53.055929
