#{"t_start": 1764259889.1480849, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,0.734599
-50.0,50,0.853698
-50.0,50,0.969326
-3.0,4,0.978158
-50.0,50,1.091621
-50.0,50,1.212033
-50.0,50,1.327754
-50.0,50,1.446746
-50.0,50,1.561248
-50.0,50,1.675494
-50.0,50,1.794109
-50.0,50,1.908556
-50.0,50,2.02405
-50.0,50,2.13895
-50.0,50,2.260135
-50.0,50,2.379135
-50.0,50,2.4928
-50.0,50,2.60558
-8.0,9,2.62595
-50.0,50,2.744936
-20.0,21,2.790982
-50.0,50,2.907635
-50.0,50,3.024001
-42.0,43,3.126634
-50.0,50,3.246027
-50.0,50,3.358564
-42.0,43,3.458427
-50.0,50,3.576729
-9.0,10,3.601068
-50.0,50,3.715149
-50.0,50,3.828533
-50.0,50,3.94629
-3.0,4,3.954762
-50.0,50,4.067973
-50.0,50,4.188833
-17.0,18,4.230053
-50.0,50,4.339606
-50.0,50,4.450168
-50.0,50,4.571208
-6.0,7,4.58693
-50.0,50,4.705696
0.0,1,4.708358
-50.0,50,4.829181
-50.0,50,4.93943
-50.0,50,5.05755
-50.0,50,5.170269
-50.0,50,5.287813
-50.0,50,6.289831
-50.0,50,6.405739
-50.0,50,6.522795
-50.0,50,6.634386
-50.0,50,6.747748
-50.0,50,6.869155
-50.0,50,6.983377
-50.0,50,7.100267
-50.0,50,7.211731
-50.0,50,7.329888
-14.0,15,7.362537
-50.0,50,7.478387
-50.0,50,7.596106
-50.0,50,7.731718
-50.0,50,7.86137
-50.0,50,7.985745
-50.0,50,8.110494
-50.0,50,8.226597
-50.0,50,8.345778
-50.0,50,8.459196
-50.0,50,8.573332
-50.0,50,8.688884
-50.0,50,8.804006
-50.0,50,8.921586
-50.0,50,9.038522
-50.0,50,9.149897
-50.0,50,9.265061
-50.0,50,9.388282
-50.0,50,9.503168
-50.0,50,9.615251
-50.0,50,9.732728
-50.0,50,9.847022
-50.0,50,9.963978
-50.0,50,10.074878
-18.0,19,10.117145
-50.0,50,10.23153
-50.0,50,10.349776
-50.0,50,10.464094
-50.0,50,10.571948
-50.0,50,10.686114
-50.0,50,10.80173
-8.0,9,10.82193
-50.0,50,10.931691
-50.0,50,11.901091
-50.0,50,12.015695
-50.0,50,12.135282
-50.0,50,12.257785
-1.0,2,12.26287
-50.0,50,12.379283
-50.0,50,12.497229
-50.0,50,12.616505
-50.0,50,12.73615
-50.0,50,12.850247
-42.0,43,12.950238
-50.0,50,13.067593
-50.0,50,13.180906
-12.0,13,13.21309
-50.0,50,13.326163
-50.0,50,13.441847
-50.0,50,13.559517
-50.0,50,13.675037
-50.0,50,13.790767
-50.0,50,13.911666
-8.0,9,13.930876
-2.0,3,13.936805
-50.0,50,14.397281
-50.0,50,14.51432
-50.0,50,14.628352
-50.0,50,14.739136
-50.0,50,14.850555
-50.0,50,14.96904
-50.0,50,15.079058
-50.0,50,15.189417
-50.0,50,15.300661
-50.0,50,15.42474
-50.0,50,15.540879
-50.0,50,15.654563
-50.0,50,15.768419
-50.0,50,15.884501
-50.0,50,16.00296
-2.0,3,16.009628
-50.0,50,16.125806
-36.0,37,16.210495
-50.0,50,16.325638
-30.0,31,16.398149
-50.0,50,16.510986
-2.0,3,16.517536
0.0,1,16.519969
-50.0,50,16.631468
-50.0,50,16.749803
-50.0,50,16.861258
-50.0,50,17.839462
-50.0,50,17.962617
-50.0,50,18.075021
-50.0,50,18.184006
-50.0,50,18.296569
-50.0,50,18.414823
-50.0,50,18.532219
-50.0,50,18.65246
-50.0,50,18.7637
-50.0,50,18.87621
-50.0,50,18.995913
-50.0,50,19.116495
-50.0,50,19.223847
-50.0,50,19.337195
0.0,1,19.339474
-50.0,50,19.453402
-50.0,50,19.563106
-50.0,50,19.675092
-50.0,50,19.788319
-50.0,50,19.902573
-50.0,50,20.021753
-50.0,50,20.136804
-50.0,50,20.249889
-50.0,50,20.36347
-50.0,50,20.477329
-50.0,50,20.593359
-50.0,50,20.707109
-50.0,50,20.825253
-50.0,50,20.941228
-50.0,50,21.058011
-50.0,50,21.178096
-50.0,50,21.29249
-50.0,50,21.409312
-50.0,50,21.529035
-50.0,50,21.640824
-6.0,7,21.657817
-19.0,20,21.70408
-50.0,50,21.835063
-50.0,50,21.94883
-3.0,4,21.959613
-50.0,50,22.073825
-50.0,50,22.188079
-50.0,50,22.296402
-50.0,50,22.412003
-50.0,50,22.523325
-3.0,4,22.531992
0.0,1,22.534733
-50.0,50,23.522152
-50.0,50,23.635311
-50.0,50,23.757896
-50.0,50,23.87029
-50.0,50,23.991079
-50.0,50,24.105715
