#{"t_start": 1764258176.69053, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,13.556197
-9.0,10,13.562756
-50.0,50,13.600411
-10.0,11,13.607925
-50.0,50,13.643058
-16.0,17,13.655139
-50.0,50,13.691892
-50.0,50,13.724991
0.0,1,13.725769
0.0,1,13.726541
-50.0,50,28.87664
-50.0,50,28.913337
-5.0,6,28.917469
-50.0,50,28.948867
-50.0,50,28.983697
-50.0,50,29.018446
-50.0,50,29.053204
-50.0,50,29.088373
-50.0,50,29.124216
-50.0,50,29.169341
-10.0,11,43.019525
-50.0,50,43.047915
-50.0,50,43.082368
-1.0,2,43.083778
-3.0,4,43.086573
-6.0,7,43.091149
-50.0,50,43.122088
-4.0,5,43.125483
-10.0,11,43.132818
-3.0,4,43.135753
-4.0,5,55.856994
-1.0,2,55.858325
-50.0,50,55.890604
-50.0,50,55.925034
-2.0,3,55.92707
-3.0,4,55.929943
-50.0,50,55.96292
-4.0,5,55.966141
-2.0,3,55.968437
-6.0,7,55.972941
-50.0,50,69.245189
-3.0,4,69.247806
-50.0,50,69.28208
-6.0,7,69.286899
-2.0,3,69.28874
-4.0,5,69.292142
-6.0,7,69.296945
-3.0,4,69.299322
-7.0,8,69.304665
-3.0,4,69.307658
-3.0,4,81.583404
-6.0,7,81.588264
-3.0,4,81.590992
0.0,1,81.591779
-2.0,3,81.593824
-50.0,50,81.626854
-3.0,4,81.629782
-2.0,3,81.631796
-3.0,4,81.634779
-50.0,50,81.665144
-50.0,50,94.771282
-2.0,3,94.773278
-3.0,4,94.775825
-6.0,7,94.780303
-50.0,50,94.813708
-6.0,7,94.818246
-3.0,4,94.820685
-1.0,2,94.821951
-1.0,2,94.823181
0.0,1,94.823828
-2.0,3,107.099957
0.0,1,107.100747
-3.0,4,107.103323
-2.0,3,107.105365
-6.0,7,107.10982
0.0,1,107.110648
-3.0,4,107.113466
-3.0,4,107.116012
-4.0,5,107.119209
-1.0,2,107.120443
.0,50,9.309699
-50.0,50,9.4231
-50.0,50,9.53872
-50.0,50,9.650856
-50.0,50,9.763664
-50.0,50,9.871958
-50.0,50,9.9853
-50.0,50,10.098254
-50.0,50,10.21128
-50.0,50,10.325658
-50.0,50,10.439194
-50.0,50,10.551848
-6.0,7,10.566647
-50.0,50,10.688641
-50.0,50,11.630615
-4.0,5,11.643519
-50.0,50,11.758746
-50.0,50,11.874374
-50.0,50,11.984642
-50.0,50,12.099958
-50.0,50,12.213917
-50.0,50,12.329013
-50.0,50,12.441346
-50.0,50,12.557454
-50.0,50,12.675575
-50.0,50,12.786634
0.0,1,12.788938
-50.0,50,12.910388
-50.0,50,13.029887
-50.0,50,13.146852
-50.0,50,13.261061
-50.0,50,13.375911
-3.0,4,13.384177
0.0,1,13.386755
-50.0,50,13.50165
-50.0,50,13.616419
-50.0,50,13.960794
-50.0,50,14.070795
-50.0,50,14.18117
-50.0,50,14.301537
-44.0,45,14.40657
-50.0,50,14.518002
-50.0,50,14.63391
-5.0,6,14.648948
-50.0,50,14.764362
-50.0,50,14.876849
-50.0,50,14.992183
-7.0,8,15.009366
-50.0,50,15.12431
-50.0,50,15.242005
-50.0,50,15.358205
-50.0,50,15.477808
-50.0,50,15.593302
-50.0,50,15.705706
-50.0,50,15.822022
-48.0,49,15.939607
-2.0,3,15.946255
-50.0,50,16.059026
-50.0,50,16.178461
-13.0,14,16.210229
-50.0,50,16.324693
-50.0,50,16.442605
-16.0,17,16.481202
-50.0,50,17.42171
-2.0,3,17.428514
-50.0,50,17.546671
-42.0,43,17.64258
-50.0,50,17.760682
-2.0,3,17.76788
-50.0,50,17.88279
0.0,1,17.885108
-50.0,50,17.999715
-50.0,50,18.112246
-50.0,50,18.22818
-7.0,8,18.24544
-50.0,50,18.354545
-50.0,50,18.471758
-50.0,50,18.593297
-1.0,2,18.597625
-50.0,50,18.710577
-15.0,16,18.74611
-50.0,50,18.860026
-50.0,50,18.991053
0.0,1,18.994277
-50.0,50,19.357809
-14.0,15,19.42353
-50.0,50,19.557389
-15.0,16,19.6176
-50.0,50,19.747559
-50.0,50,19.887739
-50.0,50,20.071694
-50.0,50,20.195369
-50.0,50,20.309178
-50.0,50,20.456049
-17.0,18,20.511566
-50.0,50,20.782976
